timestamp,open,high,low,close,volume
2026-07-28 09:15:00,26000.0,26001.08,25998.92,26000.01,82364
2026-07-28 09:20:00,26000.01,26001.64,25993.03,25994.66,59763
2026-07-28 09:25:00,25994.66,25999.85,25989.84,25995.02,75495
2026-07-28 09:30:00,25995.02,25996.79,25989.54,25991.3,102241
2026-07-28 09:35:00,25991.3,25995.28,25987.95,25991.93,90078
2026-07-28 09:40:00,25991.93,26000.95,25987.1,25996.11,76585
2026-07-28 09:45:00,25996.11,26000.75,25980.06,25984.7,32985
2026-07-28 09:50:00,25984.7,25989.26,25978.73,25983.29,99544
2026-07-28 09:55:00,25983.29,25984.9,25982.62,25984.23,11722
2026-07-28 10:00:00,25984.23,25984.4,25980.82,25981.0,94569
2026-07-28 10:05:00,25981.0,25982.72,25970.1,25971.82,60176
2026-07-28 10:10:00,25971.82,25975.64,25963.14,25966.96,65562
2026-07-28 10:15:00,25966.96,25970.15,25963.58,25966.77,72616
2026-07-28 10:20:00,25966.77,25967.17,25965.7,25966.1,93009
2026-07-28 10:25:00,25966.1,25966.37,25958.47,25958.75,133802
2026-07-28 10:30:00,25958.75,25961.84,25946.37,25949.46,94759
2026-07-28 10:35:00,25949.46,25956.67,25938.41,25945.62,115011
2026-07-28 10:40:00,25945.62,25945.88,25938.15,25938.42,109165
2026-07-28 10:45:00,25938.42,25940.88,25934.83,25937.29,88904
2026-07-28 10:50:00,25937.29,25946.47,25932.11,25941.29,69716
2026-07-28 10:55:00,25941.29,25944.18,25939.62,25942.51,95008
2026-07-28 11:00:00,25942.51,25944.59,25933.3,25935.39,84819
2026-07-28 11:05:00,25935.39,25944.9,25931.26,25940.78,49308
2026-07-28 11:10:00,25940.78,25943.11,25933.68,25936.01,28238
2026-07-28 11:15:00,25936.01,25936.36,25932.88,25933.23,130595
2026-07-28 11:20:00,25933.23,25938.55,25932.05,25937.37,79389
2026-07-28 11:25:00,25937.37,25942.85,25930.38,25935.87,77517
2026-07-28 11:30:00,25935.87,25937.14,25932.78,25934.05,87195
2026-07-28 11:35:00,25934.05,25938.06,25928.85,25932.86,90637
2026-07-28 11:40:00,25932.86,25937.06,25926.0,25930.2,111572
2026-07-28 11:45:00,25930.2,25932.61,25927.65,25930.05,80294
2026-07-28 11:50:00,25930.05,25936.39,25930.04,25936.37,109376
